"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
20001566,"  1566 Icarus (1949 MA)",Icarus,Y,Y,1.0,0.8270,1.078,0.187,22.80,87.95,31.43,160.86,1.97,2460417.82
20001620,"  1620 Geographos (1951 RA)",Geographos,Y,Y,2.56,0.3356,1.246,0.828,13.34,337.15,277.01,289.36,1.66,2460700.14
20001862,"  1862 Apollo (1932 HA)",Apollo,Y,Y,1.5,0.5599,1.471,0.647,6.35,35.56,286.03,252.87,2.29,2460794.35
20001981,"  1981 Midas (1973 EA)",Midas,Y,Y,3.4,0.6505,1.776,0.621,39.82,356.80,267.84,258.81,2.93,2460843.56
20002101,"  2101 Adonis (1936 CA)",Adonis,Y,Y,0.6,0.7642,1.874,0.442,1.32,349.43,43.69,230.82,3.31,2460936.75
20002102,"  2102 Tantalus (1975 YA)",Tantalus,Y,Y,1.649,0.2993,1.29,0.904,64.00,94.35,61.52,78.27,1.68,2460484.14
20002135,"  2135 Aristaeus (1977 HA)",Aristaeus,Y,Y,,0.5030,1.6,0.795,23.07,191.11,290.97,202.31,2.40,2460924.20
20002201,"  2201 Oljato (1947 XC)",Oljato,Y,Y,1.80,0.7107,2.179,0.630,2.52,74.87,98.37,334.42,3.73,2460683.95
20002340,"  2340 Hathor (1976 UA)",Hathor,Y,Y,0.3,0.4500,0.8438,0.464,5.86,211.29,40.10,53.40,1.22,2460558.50
20003122,"  3122 Florence (1981 ET3)",Florence,Y,Y,4.9,0.4231,1.769,1.021,22.14,336.05,27.90,0.67,2.52,2460598.89
20003200,"  3200 Phaethon (1983 TB)",Phaethon,Y,Y,6.25,0.8898,1.271,0.140,22.31,265.10,322.31,248.98,2.40,2460762.00
20003361,"  3361 Orpheus (1982 HR)",Orpheus,Y,Y,0.3,0.3229,1.21,0.820,2.66,188.68,302.34,24.54,1.60,2460567.34
20003362,"  3362 Khufu (1984 QA)",Khufu,Y,Y,0.7,0.4685,0.9895,0.526,9.92,152.40,55.09,359.85,1.45,2460600.65
20003671,"  3671 Dionysus (1984 KD)",Dionysus,Y,Y,1.5,0.5420,2.2,1.008,13.54,82.05,204.33,131.35,3.39,2460165.58
20003757,"  3757 Anagolay (1982 XB)",Anagolay,Y,Y,0.5,0.4459,1.834,1.017,3.87,74.93,17.24,293.70,2.65,2460767.65
20004015,"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington,Y,Y,4,0.6312,2.626,0.968,2.80,266.73,95.52,181.75,4.28,2461369.95
20004034,"  4034 Vishnu (1986 PA)",Vishnu,Y,Y,0.42,0.4441,1.06,0.589,11.17,157.89,296.70,260.40,1.53,2460710.71
20004179,"  4179 Toutatis (1989 AC)",Toutatis,Y,Y,5.4,0.6248,2.543,0.954,0.45,125.36,277.88,339.68,4.13,2460684.14
20004183,"  4183 Cuno (1959 LM)",Cuno,Y,Y,3.651,0.6361,1.981,0.721,6.67,294.35,237.02,175.91,3.24,2460102.94
20004450,"  4450 Pan (1987 SY)",Pan,Y,Y,,0.5866,1.443,0.596,5.52,311.70,291.94,192.17,2.29,2460895.52
20004486,"  4486 Mithra (1987 SB)",Mithra,Y,Y,1.849,0.6620,2.205,0.745,3.04,82.18,169.12,156.61,3.67,2460080.09
20004581,"  4581 Asclepius (1989 FC)",Asclepius,Y,Y,,0.3570,1.023,0.658,4.92,180.20,255.38,212.12,1.39,2460755.66
20004660,"  4660 Nereus (1982 DB)",Nereus,Y,Y,0.33,0.3587,1.485,0.952,1.45,313.11,159.54,191.96,2.02,2460909.06
20004769,"  4769 Castalia (1989 PB)",Castalia,Y,Y,1.4,0.4832,1.063,0.549,8.88,325.51,121.44,324.11,1.58,2460640.41
20004953,"  4953 (1990 MU)",,Y,Y,,0.6574,1.621,0.555,24.38,77.53,77.93,285.02,2.69,2460757.54
20005011,"  5011 Ptah (6743 P-L)",Ptah,Y,Y,,0.5001,1.636,0.818,7.41,10.63,105.94,173.66,2.45,2460231.78
20005189,"  5189 (1990 UQ)",,Y,Y,,0.4783,1.552,0.809,3.58,135.05,159.95,257.64,2.29,2460801.21
20005604,"  5604 (1992 FE)",,Y,Y,0.55,0.4061,0.9286,0.552,4.71,311.89,82.68,269.92,1.31,2460682.29
20005693,"  5693 (1993 EA)",,Y,Y,,0.5851,1.271,0.527,5.06,96.98,258.98,203.14,2.01,2460828.42
20006037,"  6037 (1988 EG)",,Y,Y,,0.4997,1.272,0.636,3.51,182.18,242.32,249.72,1.91,2460760.94
20006239,"  6239 Minos (1989 QF)",Minos,Y,Y,,0.4126,1.151,0.676,3.94,344.53,239.77,224.50,1.63,2460770.27
20006489,"  6489 Golevka (1991 JX)",Golevka,Y,Y,0.53,0.6151,2.484,0.956,2.27,209.42,68.66,151.88,4.01,2459997.28
20006491,"  6491 (1991 OA)",,Y,Y,,0.5917,2.506,1.023,6.00,301.00,324.73,142.22,3.99,2460027.95
20007335,"  7335 (1989 JA)",,Y,Y,1.8,0.4846,1.772,0.913,15.17,61.28,232.27,349.17,2.63,2460626.41
20007341,"  7341 (1991 VK)",,Y,Y,0.982,0.5061,1.841,0.909,5.41,294.73,173.48,37.89,2.77,2460504.43
20007482,"  7482 (1994 PC1)",,Y,Y,1.052,0.3294,1.349,0.904,33.47,117.85,47.49,246.56,1.79,2460780.76
20007753,"  7753 (1988 XB)",,Y,Y,,0.4817,1.467,0.761,3.12,73.39,280.08,95.85,2.17,2460427.66
20007822,"  7822 (1991 CS)",,Y,Y,1.602,0.1646,1.123,0.938,37.12,156.84,249.45,182.35,1.31,2460814.92
20008014,"  8014 (1990 MF)",,Y,Y,0.7,0.4560,1.747,0.951,1.87,209.84,114.73,291.48,2.54,2460761.05
20008566,"  8566 (1996 EN)",,Y,Y,1.568,0.4302,1.506,0.858,37.97,164.12,125.13,90.11,2.15,2460431.47
20009856,"  9856 (1991 EE)",,Y,Y,1.0,0.6258,2.242,0.839,9.83,168.11,116.18,314.61,3.65,2460755.13
20010115," 10115 (1992 SK)",,Y,Y,0.938,0.3250,1.249,0.843,15.32,8.89,233.69,84.54,1.65,2460480.83
20011500," 11500 Tomaiyowit (1989 UR)",Tomaiyowit,Y,Y,0.738,0.3558,1.08,0.696,10.31,234.39,289.52,323.61,1.46,2460641.94
20012538," 12538 (1998 OH)",,Y,Y,1.663,0.4058,1.542,0.916,24.54,220.69,321.79,317.04,2.17,2460683.93
20012923," 12923 Zephyr (1999 GK4)",Zephyr,Y,Y,2.060,0.4918,1.963,0.998,5.30,168.17,147.13,51.56,2.93,2460456.63
20013651," 13651 (1997 BR)",,Y,Y,0.562,0.3057,1.335,0.927,17.25,116.63,133.86,262.62,1.74,2460752.98
20014827," 14827 Hypnos (1986 JK)",Hypnos,Y,Y,0.9,0.6649,2.841,0.952,1.98,57.93,238.19,21.63,4.73,2460495.41
20016960," 16960 (1998 QS52)",,Y,Y,,0.8590,2.201,0.310,17.52,260.15,243.25,308.68,4.09,2460770.48
20020425," 20425 (1998 VD35)",,Y,Y,,0.4764,1.565,0.819,6.99,227.25,296.32,32.70,2.31,2460535.55
20022753," 22753 (1998 WT)",,Y,Y,,0.5699,1.219,0.524,3.20,307.36,324.80,165.33,1.91,2460374.75
20023187," 23187 (2000 PN9)",,Y,Y,,0.5893,1.847,0.759,51.33,164.29,293.53,167.50,2.94,2460173.89
20025143," 25143 Itokawa (1998 SF36)",Itokawa,Y,Y,0.33,0.2803,1.324,0.953,1.62,69.08,162.82,142.57,1.70,2460380.09
20026663," 26663 (2000 XK47)",,Y,Y,,0.4717,1.546,0.817,13.53,303.59,231.23,108.78,2.28,2460388.33
20027002," 27002 (1998 DV9)",,Y,Y,,0.4333,1.744,0.988,8.70,130.34,0.82,203.62,2.50,2460965.86
20029075," 29075 (1950 DA)",,Y,Y,1.3,0.5077,1.699,0.836,12.16,356.59,224.76,223.31,2.56,2460907.61
20031669," 31669 (1999 JT6)",,Y,Y,,0.5776,2.137,0.903,9.54,78.77,39.10,97.39,3.37,2460291.76
20033342," 33342 (1998 WT24)",,Y,Y,0.432,0.4177,0.7187,0.419,7.37,81.66,167.52,27.50,1.02,2460583.50
20035107," 35107 (1991 VH)",,Y,Y,0.929,0.1442,1.137,0.973,13.91,139.34,206.96,100.55,1.30,2460476.76
20035396," 35396 (1997 XF11)",,Y,Y,0.704,0.4837,1.442,0.745,4.10,213.65,103.04,272.13,2.14,2460754.90
20037638," 37638 (1993 VB)",,Y,Y,,0.5199,1.913,0.918,5.08,145.56,323.20,236.56,2.91,2460931.89
20037655," 37655 Illapa (1994 PM)",Illapa,Y,Y,,0.7525,1.478,0.366,18.03,139.52,303.90,254.99,2.59,2460791.90
20038071," 38071 (1999 GU3)",,Y,Y,,0.5075,2.089,1.029,12.74,195.49,8.81,162.10,3.15,2460103.79
20039572," 39572 (1993 DQ1)",,Y,Y,1.554,0.4927,2.036,1.033,10.03,313.50,344.85,205.80,3.04,2461055.07
20041429," 41429 (2000 GE2)",,Y,Y,0.204,0.5553,1.593,0.708,2.17,351.91,297.20,42.91,2.48,2460512.99
20052760," 52760 (1998 ML14)",,Y,Y,1.0,0.6233,2.409,0.907,2.43,338.68,20.37,347.09,3.91,2460649.47
20052768," 52768 (1998 OR2)",,Y,Y,1.75,0.5755,2.38,1.010,5.88,26.94,174.59,81.21,3.75,2460297.98
20053319," 53319 (1999 JM8)",,Y,Y,7.,0.6414,2.724,0.977,13.84,133.62,166.80,228.77,4.47,2461198.95
20053426," 53426 (1999 SL5)",,Y,Y,,0.5391,1.923,0.886,22.77,239.06,43.36,167.90,2.96,2460146.17
20053429," 53429 (1999 TF5)",,Y,Y,,0.6410,2.022,0.726,26.78,199.16,64.09,281.57,3.32,2460829.24
20053550," 53550 (2000 BF19)",,Y,Y,,0.4196,1.495,0.868,7.17,313.14,324.95,67.25,2.12,2460475.74
20053789," 53789 (2000 ED104)",,Y,Y,0.843,0.2692,1.371,1.002,40.78,190.02,218.35,236.89,1.74,2460800.93
20065679," 65679 (1989 UQ)",,Y,Y,0.918,0.2647,0.9148,0.673,1.30,178.08,15.01,195.92,1.16,2460746.16
20065690," 65690 (1991 DG)",,Y,Y,,0.3632,1.428,0.909,11.14,180.10,63.37,212.30,1.95,2460856.18
20065717," 65717 (1993 BX3)",,Y,Y,,0.2810,1.395,1.003,2.81,174.75,290.95,104.62,1.79,2460425.54
20065803," 65803 Didymos (1996 GT)",Didymos,Y,Y,0.78,0.3833,1.643,1.013,3.41,72.99,319.60,339.93,2.27,2460643.37
20065909," 65909 (1998 FH12)",,Y,Y,,0.5397,1.091,0.502,3.56,108.59,284.51,196.93,1.68,2460789.06
20066391," 66391 Moshup (1999 KW4)",Moshup,Y,Y,1.317,0.6884,0.6424,0.200,38.88,244.90,192.65,296.90,1.08,2460633.46
20067367," 67367 (2000 LY27)",,Y,Y,,0.2127,1.308,1.030,9.02,264.51,184.84,248.94,1.59,2460769.16
20067381," 67381 (2000 OL8)",,Y,Y,,0.5430,1.321,0.604,10.67,294.84,266.96,38.01,2.04,2460541.97
20068216," 68216 (2001 CV26)",,Y,Y,0.994,0.3267,1.32,0.889,17.99,18.13,48.74,301.79,1.75,2460690.05
20068346," 68346 (2001 KZ66)",,Y,Y,0.736,0.4166,1.507,0.879,16.70,219.37,140.29,133.79,2.14,2460349.29
20068347," 68347 (2001 KB67)",,Y,Y,,0.3799,0.9616,0.596,17.13,245.86,243.82,352.38,1.33,2460607.79
20068372," 68372 (2001 PM9)",,Y,Y,,0.4160,1.618,0.945,8.11,252.96,322.33,157.97,2.29,2460270.62
20068548," 68548 (2001 XR31)",,Y,Y,1.182,0.4368,1.707,0.961,22.72,302.02,24.71,186.50,2.45,2460993.10
20068950," 68950 (2002 QF15)",,Y,Y,1.650,0.3443,1.057,0.693,25.15,236.21,255.57,54.57,1.42,2460540.33
20069230," 69230 Hermes (1937 UB)",Hermes,Y,Y,,0.6239,1.655,0.622,6.07,34.05,92.90,279.39,2.69,2460774.62
20085182," 85182 (1991 AQ)",,Y,Y,1.1,0.7777,2.22,0.494,3.12,339.40,243.23,59.27,3.95,2460401.55
20085236," 85236 (1993 KH)",,Y,Y,,0.3110,1.234,0.850,12.81,54.36,293.82,252.62,1.62,2460749.81
20085585," 85585 Mjolnir (1998 FG2)",Mjolnir,Y,Y,,0.3563,1.298,0.835,4.08,2.31,95.42,37.53,1.76,2460544.22
20085640," 85640 (1998 OX4)",,Y,Y,,0.4859,1.58,0.812,4.52,299.57,117.30,15.27,2.35,2460569.73
20085713," 85713 (1998 SS49)",,Y,Y,3.484,0.6388,1.923,0.695,10.79,40.95,103.13,239.57,3.15,2460926.40
20085774," 85774 (1998 UT18)",,Y,Y,0.939,0.3288,1.403,0.942,13.59,64.62,50.15,178.64,1.86,2460299.33
20085938," 85938 (1999 DJ4)",,Y,Y,,0.4846,1.853,0.955,9.14,19.87,197.79,41.94,2.75,2460493.20
20085989," 85989 (1999 JD6)",,Y,Y,1.462,0.6329,0.8831,0.324,17.07,130.15,309.25,338.43,1.44,2460618.66
20085990," 85990 (1999 JV6)",,Y,Y,0.451,0.3111,1.008,0.695,5.36,124.30,235.57,312.19,1.32,2460649.62
20086039," 86039 (1999 NC43)",,Y,Y,2.22,0.5789,1.76,0.741,7.13,311.62,120.81,217.35,2.78,2460938.41
20086819," 86819 (2000 GK137)",,Y,Y,0.802,0.5059,1.995,0.986,10.06,164.88,150.30,212.48,3.00,2461022.39
20087684," 87684 (2000 SY2)",,Y,Y,,0.6428,0.8587,0.307,19.22,162.01,47.81,182.98,1.41,2460743.40
20088254," 88254 (2001 FM129)",,Y,Y,0.800,0.6296,1.182,0.438,1.52,272.11,140.23,166.57,1.93,2460383.21
20088959," 88959 (2001 TZ44)",,Y,Y,,0.5635,1.724,0.752,53.83,38.96,114.92,18.09,2.69,2460558.97
20089136," 89136 (2001 US16)",,Y,Y,,0.2530,1.356,1.013,1.91,175.90,67.20,332.59,1.70,2460644.41
20089830," 89830 (2002 CE)",,Y,Y,5.067,0.5070,2.078,1.024,43.65,19.90,5.84,253.27,3.13,2460924.84
20089958," 89958 (2002 LY45)",,Y,Y,,0.8864,1.642,0.186,9.91,188.16,222.94,186.10,3.10,2460971.69
20089959," 89959 (2002 NT7)",,Y,Y,1.407,0.5284,1.735,0.818,42.36,132.00,300.71,206.61,2.65,2460956.30
