name;diameter;GM;e;a;q;i;om;w;ma;ad;tp
Ceres;939.4;3,22E-05;0.0792;2.767;2.548;10.59;80.25;73.29;145.85;2.99;2459919.54
Pallas;513;4,89E-05;0.2304;2.77;2.132;34.92;172.91;310.89;126.07;3.41;2460010.71
Juno;246.596;4,46E-01;0.2561;2.67;1.986;12.99;169.84;247.82;127.33;3.35;2460036.83
Vesta;525.4;626.284;0.0900;2.361;2.148;7.14;103.70;151.68;278.02;2.57;2460902.22
Astraea;106.699;17.288.245;0.1873;2.576;2.094;5.36;141.46;359.26;38.64;3.06;2460438.40
Hebe;185.18;0.00275;0.2024;2.426;1.935;14.73;138.62;239.65;248.27;2.92;2461028.85
Iris;199.83;0.00689;0.2299;2.386;1.838;5.52;259.50;145.52;314.76;2.93;2460769.68
Flora;147.491;0.491;0.1566;2.201;1.856;5.89;110.85;285.43;78.15;2.55;2460341.57
Metis;190;0.7475;0.1228;2.386;2.093;5.58;68.87;5.77;92.38;2.68;2460255.06
Hygiea;407.12;1.53;0.1104;3.141;2.794;3.83;283.15;312.63;145.94;3.49;2459776.12
Parthenope;142.887;13.63;0.0994;2.453;2.209;4.63;125.51;196.07;71.50;2.70;2460321.72
Victoria;115.087;2.1e-9;0.2201;2.334;1.820;8.37;235.36;69.55;326.36;2.85;2460722.21
Egeria;202.636;3.00e-8;0.0854;2.578;2.358;16.53;43.21;79.22;305.55;2.80;2460829.15
Irene;152;5.;0.1630;2.59;2.167;9.13;86.01;98.05;278.47;3.01;2460945.21
Eunomia;231.689;7.;0.1876;2.644;2.148;11.76;292.89;98.77;21.75;3.14;2460505.64
